"location","continent","population","cardiovasc_death_rate","median_age","human_development_index","max.cases","max.deaths"
"Afghanistan","Asia",41128772,597.029,18.6,0.511,235214,7998
"Africa","Africa",1426736614,NA,NA,NA,13145380,259117
"Albania","Europe",2842318,304.195,38,0.795,335047,3605
"Algeria","Africa",44903228,278.364,29.1,0.748,272139,6881
"American Samoa","Oceania",44295,283.75,NA,NA,8359,34
"Andorra","Europe",79843,109.135,NA,0.868,48015,159
"Angola","Africa",35588996,276.045,16.8,0.581,107481,1937
"Anguilla","North America",15877,NA,NA,NA,3904,12
"Antigua and Barbuda","North America",93772,191.511,32.1,0.778,9106,146
"Argentina","South America",45510324,191.032,31.9,0.845,NA,NA
"Armenia","Asia",2780472,341.01,35.7,0.776,452273,8777
"Aruba","North America",106459,NA,41.2,NA,44224,292
"Asia","",4721383370,NA,NA,NA,NA,NA
"Australia","Oceania",26177410,107.791,37.9,0.944,11861161,25236
"Austria","Europe",8939617,145.183,44.4,0.922,6082444,22534
"Azerbaijan","Asia",10358078,559.812,32.4,0.756,835757,10353
"Bahamas","North America",409989,235.954,34.3,0.814,39127,849
"Bahrain","Asia",1472237,151.689,32.4,0.852,696614,1536
"Bangladesh","Asia",171186368,298.003,27.5,0.632,2051348,29499
"Barbados","North America",281646,170.05,39.8,0.814,108582,593
"Belarus","Europe",9534956,443.129,40.3,0.823,994037,7118
"Belgium","Europe",11655923,114.898,41.8,0.931,4872829,34339
"Belize","North America",405285,176.957,25,0.716,71414,688
"Benin","Africa",13352864,235.848,18.8,0.545,28036,163
"Bermuda","North America",64207,139.547,NA,NA,18860,165
"Bhutan","Asia",782457,217.066,28.6,0.654,62697,21
"Bolivia","South America",12224114,204.299,25.4,0.718,1212147,22387
"Bonaire Sint Eustatius and Saba","North America",27052,NA,NA,NA,11922,41
"Bosnia and Herzegovina","Europe",3233530,329.635,42.5,0.78,403666,16392
"Botswana","Africa",2630300,237.372,25.8,0.735,330696,2801
"Brazil","South America",215313504,177.961,33.5,0.765,37511921,702116
"British Virgin Islands","North America",31332,NA,NA,NA,7557,64
"Brunei","Asia",449002,201.285,32.4,0.838,347723,179
"Bulgaria","Europe",6781955,424.688,44.7,0.816,1329988,38700
"Burkina Faso","Africa",22673764,269.048,17.6,0.452,22139,400
"Burundi","Africa",12889583,293.068,17.5,0.433,54569,15
"Cambodia","Asia",16767851,270.892,25.6,0.594,139319,3056
"Cameroon","Africa",27914542,244.661,18.8,0.563,125246,1974
"Canada","North America",38454328,105.599,41.4,0.929,4819055,55282
"Cape Verde","Africa",593162,182.219,25.7,0.665,64474,417
"Cayman Islands","North America",68722,NA,NA,NA,31472,37
